name;description;link;contact;website;who_can_apply;what_to_expect;how_to_apply
Early Intervention Programme For Infants and Children  EIPIC   CPAS;"The Early Intervention Programme for Infants and Children  EIPIC  at CPAS provides early intervention for children with one or more disabilities  and prepares them for admission into either a Special Education school or mainstream school.
Curriculum domains covered by the programme include 

Cognitive skills
Adaptive skills
Social skills
Fine  amp  Gross motor skills
Social communication skills

OBJECTIVES

To maximise the developmental growth of each child by providing holistic and individual developmental programmes for children 6 years old or below  diagnosed with one or more disabilities
To provide family centred support and training for the child
To provide rehabilitative  therapeutic and supportive services
To provide integration support to mainstream preschool";https://www.sgsocialsupport.com/resource/jjgsZeZzEd-;6585 5647;https   cpas.org.sg eipic;"We will continue to make adjustments to our admission and initial screening in view of COVID 19 situation. We seek your understanding and will provide more details and information when we liaise with you via email  calls and tele conferencing.

Age from 6 months to 6 years old
A child diagnosed with cerebral palsy  Autism Spectrum Disorder  chromosomal abnormalities  Down Syndrome  Global Developmental Delay  communication disorders or other developmental needs
Singapore Citizen or Permanent Resident
Only referrals from SG Enable are accepted. Please visit www.sgenable.sg for more information.";Please contact the organisation for more details.;Please contact the organisation for more details.
EDIcares;Parents of poor and needy families struggle to work  take care of their children and provide for their basic needs. nbsp  Some of these families receive regular food rations for daily sustenance and can scarcely afford diapers and milk powder for their children. nbsp  Many such mothers are malnourished themselves or are medically unwell  and so are unable to breastfeed their children.Milk and DiapersFrom 2018 onwards  we partnered with nbsp Prison Fellowship Singapore to provide milk and diapers to families in need.Besides relieving the tight financial situation of these families  the milk provided supports the physical growth of their children  many who are undernourished. With PFS  we extended the support to provide UHT milk to children older than 3 years old. PFS shared that there are families whose main meal consists of porridge  ikan bilis and vegetables  and these children often skipped breakfast and were hungry in school.Furthermore  we found out that by providing milk to school going children  their school attendance and performance improved   they were no longer constantly hungry and their bodies received the nutrients they needed for optimal physiological development.;https://www.sgsocialsupport.com/resource/nTTXy-Sdw5X;6908 7656;https   cares.edis.sg  milk and diapers;Edicares work with Prison Fellowship Singapore  PFS  to support the families under them. Families that have one parent in prison or was an ex convict can apply to PFS;Please contact the organisation for more details.;Please contact the organisation for more details.
Education Support Program  LOVE  NILS;160 children are newly diagnosed annually with cancer in Singapore. Their suppressed immune systems often do not allow them to attend school during their six months to one year treatment or longer when their remission is unstable.LOVE  NILS has aligned with a professional licensed tutoring company to provide one to one specialized twice weekly tutoring sessions to support these patients and their siblings in their home and the hospital  online.;https://www.sgsocialsupport.com/resource/xHDYQZgHREM;N/A;https   www.lovenils.org work;Children with cancer treated in Singapore hospitals can register here  http   bit.ly LOVENILSEducationSupport;;Please contact the organisation for more details.
Elevate the Streets;"Elevate the Streets is an initiative that aims to bridge street subcultures with social services through workshops  events and outreach.
On 10th March 2019  some of us gathered in a cozy apartment  and we had a crazy idea. We wanted to apply our common love for breaking to serving a greater cause. Our central idea was simple  breaking had empowered us  and can similarly empower others.
Troubled and disaffected youths often benefit from having an anchor in their formative years to channel their energies productively. This led us to explore breaking as a way to reach out to youth communities. In fact  this concept of reaching out through hip hop is a core part of the culture  tied in with its well known elements of  Peace  Love  Unity and Having Fun .
With these thoughts and convictions  we started a movement that championed all that is positive about being involved in subcultures   the community  the values  and the potential for social impact. Through Elevate the Streets  we hope to become a gateway where outsiders can have an enriched understanding of what it means to practice b boying  dj ing  graffiti  parkour  and other subcultures in Singapore.";https://www.sgsocialsupport.com/resource/3pQPhg5E5Zz;N/A;https   elevatethestreets.com;Please contact the organisation for more details.;Please contact the organisation for more details.;They can be contacted through form in their website
Epworth Family Welfare   Family Guidance Order  Epworth Community Services;Epworth Family Welfare provides intervention programmes and services to help parents facing challenges in managing their children and youths below the age of 16 years old. These Pre FGO programmes and services are designed to work with at risk children and youths on their challenging behaviours  provide parenting skills for the parents  as well as build better family relationships. Under the Children and Young Persons Act  CYPA  passed in Parliament in 2019  parents and their children will have to attend the Pre FGO programmes and services before they can seek further assistance from the Youth Court.  Click here for more information;https://www.sgsocialsupport.com/resource/PkAqeWgyHtB;6715 3732;https   www.epworth.sg programmes services epworth family welfare;Please contact the organisation for more details.;Please contact the organisation for more details.;Parents can now use this link to register for an appointment with Epworth Community Services.  You will need to log in using your Singpass. Alternatively  you may wish to contact us at 6715 3732 directly to register for an appointment.
Epworth Foster Care  Epworth Community Services;Epworth Community Services was appointed by the Ministry of Social  amp  Family Development  MSF  in September 2015 to set up the first Fostering Agency in Singapore  Epworth Foster Care.MSF hopes that by having Foster Agencies in the community  there will be better support for foster families and more foster parents can be recruited.Our mission is to provide quality care and support to foster parents  and connecting them to a wider network of resources. While the reintegration of foster children with their natural families are being worked at  foster families will be equipped to ensure the well being and holistic development of foster children in a safe  nurturing and caring family environment.What do foster parents do Children are placed in foster care when they are no longer able to stay safely with their own natural families or next of kin. Children placed on MSF s fostering scheme require a safe  stable and nurturing home environment to grow and reach their potential. Foster parents provide loving homes for these children and give them the care that will help them heal and grow.By being a foster parent  you will be providing a loving and caring family environment for vulnerable children in need of care. Foster parents can make a very positive impact in the lives of these children.Reasons Why Children Come Into CareChildren come into care for the following reasons Children are victims of physical  sexual or emotional abuse.Children are victims of neglect or abandonmentParents have passed awayParents have been incarceratedParents suffer from physical or mental illness and are unable to care for their childrenParents are facing financial difficulties or experiencing crisis in their lives;https://www.sgsocialsupport.com/resource/RLuws6w3fh6;6562 2211;https   www.epworth.sg programmes services epworth foster care;Who can Foster The applicant must be a resident of SingaporeThe applicant must be at least 25 years old and marriedThe applicant must be medically fit to care for childrenThe applicant must have a minimum monthly household income of S 2 000 and a PCI of at least  700 The applicant should have attained secondary school educationThe applicant should have experience caring for and living with children and or exhibit strong parenting skills  andThe applicant should be willing to provide and ensure a child safe home environment for the foster child.The applicant must be willing to work with MSF and other professionals for the child s best interest.;Please contact the organisation for more details.;Become a foster parentFill in the application form here and we will get in touch with you.You may also write us an email at fostercare@epworth.sg or contact us at 9119 8711  Whatsapp
Forte360;"Forte360 is a self initiated initiative composed of students and alumni from local universities. We are driven to make a positive impact in students  education journey  especially for those from underprivileged backgrounds. We would like to emphasise Skills Based learning to be cultivated from a young age  Upper Primary and Secondary School students .
Thus  we are looking to collaborate with non profit organisations catering to students to plan and customise a programme series that incorporates hard  soft and socio emotional skills at a pro bono basis. Some of the Hard skills include Entrepreneurship  Financial Management  Coding and Basic Engineering which these students can use them in their lives. We have a pool of volunteers to execute the activities to teach the students the respective skills. Due to covid 19  we are prepared to conduct these activities virtually as well.";https://www.sgsocialsupport.com/resource/vS3CawYVkYx;N/A;https   www.instagram.com forte360   hl en;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.
Grace Orchard School;Grace Orchard School  GOS  caters to students aged 7   18 years old who have been diagnosed with Mild Intellectual Disability  MID  as well as those with Mild Autism Spectrum Disorders  ASD . The school is specifically for students ranging from 7 18 years old who have Intellectual Quotient  IQ  which falls within the range of 50 70.;https://www.sgsocialsupport.com/resource/AVf5xvYe9-Q;6561 9128;https   go.edu.sg;;Please contact the organisation for more details.;Please contact the organisation for more details.
Gracehaven Fostering  The Salvation Army;"Appointed by the Ministry of Social and Family Development  we collaborate with foster families to provide a safe and secure home for foster children and young persons who require care and protection. These children are in foster care due to reasons that may lead to their family being unable to care for them temporarily.
We are committed to safeguarding and nurturing children and youth who need care and protection. Our two residential homes  together with our Interim Placement and Assessment Centre  cares for around 150 persons a year. Gracehaven Fostering supports around 100 foster children and youth in the community.";https://www.sgsocialsupport.com/resource/x-28RRgKQqn;8833 8173;https   www.salvationarmy.org.sg wwd gracehaven fostering;Please contact the organisation for more details.;"Regular Contact
Support is given through home visits  calls and a 24 7 emergency hotline.
Specialised Training
Tailored programmes are provided to equip foster parents.
Support Groups
Provides support for foster parents through the sharing of experiences and knowledge.
Finances
A monthly fostering allowance  medical and subsidised child student care fees are provided.";If you are interested to be a foster parent please download the application form or click Frequently Asked Questions for more information.
Happy Children Happy Future;"Happy Children Happy Future  HCHF  was founded by Gary Lau Hwei in June 2017. HCHF targets Pri 1 to Sec 3 students  who comes from either low income and or single parent families.
Many times  these vulnerable children lacked tangible resources to succeed in their studies. With a lack of resources and opportunities  their future is affected. Therefore  HCHF aims to help ease their predicaments and improve their quality of life. Tuition conducted will be complimentary.
PROGRAMMES

Group Tuition  GT  Programme   The GT programme is conducted at selected RC and FSC centres. It targets at children from Pri 1 to Sec 3 students. It is conducted in a weekly basis from February to May and July to October. Each session is between 1 hour to 1 hour 30 minutes.
Board Game  BG  Programme   BG programme is a social development programme where volunteers and children come together and spend their time meaningfully through board games. It is situated in a selected few RC centres. It helds in every last week of every month.
Together We Are One Programme   Workshop and outing events that are held every once or twice a year. These events are usually sponsored by external parties and organized by the HCHF team.";https://www.sgsocialsupport.com/resource/bsszAPLd8wq;8715 4128;https   www.facebook.com happychildrenhappyfuture;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.
Home Based Childminding Programme  Daughters of Tomorrow;Economically challenged parents could face limited employment options due to irregular working hours and may require alternate caregiving arrangements beyond traditional child care institutions who work the standard office hours.The Home Based Childminding Programme aims to support these parents in achieving stability  self reliance  and ultimately social mobility by providing after hours childminding services to allow them to seek employment opportunities or to go for skills training. nbsp The Home Based Childminding Programme has expanded its services from Punggol and Bedok to all of Singapore as of 23 Jan 2023.;https://www.sgsocialsupport.com/resource/NzRWmsVqgky;N/A;https   daughtersoftomorrow.org get support home based childminding programme;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.
Huggies Singapore Diaper Bank @ North West  North West CDC;"Huggies Singapore Diaper Bank @ North West provides children diapers to low income young families to help defray some household expenses and ease their financial stress on raising children.
Eligible applicants may apply during the two application windows each year  and receive six packets of diapers for children from newborn up to four years old.";https://www.sgsocialsupport.com/resource/8srCQdZ9KFk;6248 5566;https   northwest.cdc.gov.sg programmes assisting the needy huggiesdiaperbank;"Singapore Citizen  or Permanent Resident  at least one immediate family member in the same household must be a Singapore Citizen 
Resident of the North West District 
Monthly household income of    3 400 or monthly Per Capita Income of    850

Please note that the applications will open in April and October 2024.";Please contact the organisation for more details.;Please contact the organisation for more details.
I Am Talented  IAT;I Am Talented is a social empowerment initiative for youth in Singapore to explore areas of interest in non academic pathways.;https://www.sgsocialsupport.com/resource/4KZVQZkCxSy;N/A;https   iamtalented.sg;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.
Jiayou Station;"Jiayou Station is a peer mentorship programme that aims to provide mentorship support for students who can use the help  in both academic and aspirational areas. Through regular tutoring sessions and sharing sessions  our goal is to nurture greater motivation for students to aspire higher  and to provide them with the knowledge needed to realise these aspirations.
Our Instagram features our Void Deck initiative  sharing inspiring stories of people who made unique decisions in their student lives through engaging comics that feature our titular mascot  Oli 
Our Mission is 

Academic  To provide tailored academic assistance to individual students through regular tutoring sessions.
Aspirational  To capitalise on shared experiences of the volunteering community to help students develop their extracurricular interest.";https://www.sgsocialsupport.com/resource/9k38wfyXDKa;N/A;https   www.instagram.com jiayou station;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.
Kid s Weekday Care   YWCA;"Supporting Underprivileged Children
Replacing the former Kids  Club programme which ran from 2007 to 2015  the YWCA Kids  Weekday Care  KWC  programme was set up in 2016 to provide afterschool care to latch key children from low income families. It was created in response to demand for afterschool care needs from our beneficiary families under our Meals on Wheels  https   ywca.org.sg food distribution meals on wheels   programme.
The thrice weekly afterschool care service covers two way transport from school and back to their respective homes  halal lunch and a structured care schedule at a highly subsidised cost.
The care programme aims to provide social  emotional  moral and academic support to disadvantaged children by creating a rewarding and conducive environment for them to develop their self worth and character  discover their unique potential  and strive for excellence. In doing so  it perpetuates YWCA s endeavours to offer a more holistic approach to helping children from low income families under the Meals on Wheels programme and those who are referred by schools.
The Kids  Weekday Care focuses on the overall development of children through a broad range of activities such as tutoring  mentorship  enrichment  soft skills and life skills workshops  outings and group work. Service and value based learning is emphasized  as well as work in alliance with parents. Casework and counselling will be available for children who require it.
The service runs every Tuesday  Wednesday and Thursday from 2pm to 6pm at the YWCA Kids  Weekday Care room at Outram. The centre will be closed at 6.30pm and on school and public holidays.";https://www.sgsocialsupport.com/resource/u-ngjTKnjaz;6223 1227;https   ywca.org.sg community support kids weekday care;"Child must be a Singapore Citizen or Permanent Resident  PR  enrolled in a government school within the vicinity of Outram and meets the following criteria 

Child is under MOE Financial Assistance Scheme  MOE FAS 
Child is referred by family social worker school teacher  school counsellor YWCA social worker

Referral from Family Social Worker School is not necessary but encouraged.";Please contact the organisation for more details.;"Contact your nearest Family Service Centre Social Service Centre to request for a social worker who will apply on your behalf. Download form from YWCA.
Email csp@ywca.org.sg.

Attach Form
Attach All Necessary Documents
Attach Valid Social Report"
Lakeside Family Services The GRIT Project;"The GRIT Project  TGP  is a Children and Youth Centre at Jurong West  Nanyang . It nurtures a caring generation to serve the community and addresses the needs of disadvantaged children and youths aged 5 to 18. Our staff and volunteers instil GRIT values in young people   Grace  Respect  Integrity  and Tenacity   all of which lead to grit  TGP provides a safe space for self discovery and empowerment for young people so they can grow to be confident  competent  connected  caring  and of good character. 
The programmes include 

Structured Mentoring
The GRIT Academy  TGA  is a 6 to 9 month mentoring programme where youths from 13  to 17 years old undergo a journey of self discovery through experiential activities supported by mentors and friends.
Mentoring via Skills Transfer
Interest based Programmes  Cheerleading  Dance   amp  Sports@TGP  Badminton  Futsal  engage children and youths from 11  to 14 years old. Amidst the vibes and exertion of these programmes  we weave in conversations about life and inculcate values.
Weekly Drop ins
The GRIT Hub  is a weekly drop in programme for children 7  to 12 years old that grows academic interest  encourages discipline in study and play. We provide coaching and supervised playtime. The GRIT Hub is a weekly drop in for youths 13  to 17 years old to have fun  make friends  and be meaningfully engaged. We journey with youths who are facing difficulties.
SPARKS
A school holiday programme for children  aged 7 to 12  promoting socioemotional and cognitive development  positive self identity  and good values. We engage children with experiential learning activities.
School Social Work
School Social Work sessions help youths improve interpersonal skills. We engage them with experiential learning activities.";https://www.sgsocialsupport.com/resource/SfVEK7WsdTb;6564 9722;https   lakeside.org.sg;Please contact the organisation for more details.;Please contact the organisation for more details.;If you or your child ward are 18 years old and under  and would like to sign up for our programmes  send a completed registration form to thegritproject@lakeside.org.sg.Schools may refer students who would benefit from our programmes or services. Send a completed school referral form to thegritproject@lakeside.org.sg .
Little Libraries Singapore;Little Libraries Singapore is a directory and updates of little libraries in Singapore. If you have started your own little free library feel free to create an album to share with us your little library here we would love to see  follow and hear of your journey  If you started or know of any little libraries around the island please add in the address and details on the list of directory  copy and paste the latest post of the running list of directory  add in yours and post it    . If you love books and the community of books sharing lets share the joy of reading and books here;https://www.sgsocialsupport.com/resource/QYfLcwmChWE;N/A;https   www.facebook.com groups littlelibrariessg;Please contact the organisation for more details.;Please contact the organisation for more details.;Please contact the organisation for more details.
Make a Wish Singapore;"Make A Wish Singapore is part of the world s largest wish granting organisation and the only wish granting organisation of its kind in Singapore. It was born from the transformational effects of a wish on the wider community  where our founders pledged to  share the power of a wish . The Singapore affiliate started our amazing journey in March 2002.
We believe wishes provide children the strength to look past their situations and limitations  assist families in overcoming their anxieties and have the potential to galvanise entire communities in creating hope  strength and joy for the children as well as their loved ones. Most importantly  we believe that wishes can improve a child s quality of life  giving them a better chance of recovery.";https://www.sgsocialsupport.com/resource/xBYrUvWCDfc;6334 9474;https   makeawish.org.sg;"Who is eligible for a wish 
Singaporeans  Permanent Residents  Dependent Pass Holders
Aged 3   18 years old
Diagnosed with a critical illness

Critical illness include  but are not restricted to  childhood cancers  certain types of muscular dystrophy  certain neurological or genetic diseases  cardia disorder  renal failure and traumatic injuries. Click here to view the list of medical conditions that are within our Eligibility Criteria for a wish.

If a child has been diagnosed with multiple conditions or has a condition that is not listed  the may still be eligible for a wish. If you re supporting a child who is in need of a wish as soon as possible or you have any questions in regard to whether a condition qualifies for a wish  please contact our Wish team at  65 6334 9474 or by email to wish@makeawish.org.sg
https   makeawish.org.sg wishes refer";Please contact the organisation for more details.;Please contact the organisation for more details.
Membina  THK FSC;THK FSC@TP will be conducting group work to support children who have witnessed violence at home with play as its main form of engagement. We hope to build up the child s internal resources i.e.  self awareness  self identity  and willpower to overcome current and future challenges.;https://www.sgsocialsupport.com/resource/gTYevSh857L;6270 6711;https   www.thkmc.org.sg;Children  7 to 12 years old  who have witnessed family violence.;Value added services  Meals provided  family outing;Please contact the organisation for more details.
New Life Youth Hub @ Fajar  New Life Community Services;Set in the heart of Bukit Panjang  New Life Youth Hub @ Fajar is located within the community and for the community. Our heartbeat is to reach youths within and around Bukit Panjang. This centre features a fully equipped kitchen where we can impart culinary and baking skills while inculcating positive values in the youths.Our mentors also strive to grow this community through our outreach platforms such as conducting sports programmes at the nearby Fajar hardcourt.;https://www.sgsocialsupport.com/resource/Bz5vhm3uR7v;6892 4419;https   newlife.org.sg what we do youth services fajar youth hub;Please contact the organisation for more details.;FacilitiesFully equipped kitchenPlaystation 4 consolesAssorted board gamesChill hangout spotsCatch up space;Membership Fee 10  full year  5  half year Waived for students under FAS
