Name;Description;Amount;Purpose;Eligibility;Category
REACH Community Services Society;Supports families, youth, and elderly through various programs.;Upon request;To provide support and services.;Open to those in need.;Family Service
Ren Ci Hospital;Offers medical and rehabilitative care for the elderly.;Upon request;To provide support and services.;Open to those in need.;Physical Health
SATA CommHealth;Provides community healthcare services.;Upon request;To provide support and services.;Open to those in need.;Physical Health
Singapore Anglican Community Services;Offers social and healthcare services for various groups.;Upon request;To provide support and services.;Open to those in need.;Mental Health
Singapore Association for Mental Health;Supports individuals with mental health issues.;Upon request;To provide support and services.;Open to those in need.;Mental Health
Singapore Association of the Visually Handicapped;Supports visually impaired individuals through various services.;Upon request;To provide support and services.;Open to those in need.;Minorities
Singapore Cancer Society;Provides support and services for cancer patients.;Upon request;To provide support and services.;Open to those in need.;Physical Health
Singapore Children's Society;Supports and protects children through various programs.;Upon request;To provide support and services.;Open to those in need.;Children
Singapore Council of Women's Organisations (SCWO);Supports women through advocacy and various programs.;Upon request;To provide support and services.;Open to those in need.;Support Group
Singapore Red Cross Society;Provides emergency relief and community services.;Upon request;To provide support and services.;Open to those in need.;Helplines
SPD;Supports individuals with disabilities through various services.;Upon request;To provide support and services.;Open to those in need.;Minorities
Sunlove Abode for Intellectually-Infirmed Ltd;Offers care and support for individuals with intellectual disabilities.;Upon request;To provide support and services.;Open to those in need.;Elderly
The Salvation Army;Provides social services and support for needy individuals and families.;Upon request;To provide support and services.;Open to those in need.;Family Service
Thye Hua Kwan Moral Charities;Offers social and welfare services for various groups.;Upon request;To provide support and services.;Open to those in need.;Family Service
TOUCH Community Services;Supports families, youth, and elderly through various programs.;Upon request;To provide support and services.;Open to those in need.;Family Service
TRANS Family Services;Provides social services and support for families.;Upon request;To provide support and services.;Open to those in need.;Family Service
Very Special Arts Singapore Ltd;Supports individuals with disabilities through the arts.;Upon request;To provide support and services.;Open to those in need.;Minorities
Viriya Community Services;Offers social services for families and individuals.;Upon request;To provide support and services.;Open to those in need.;Family Service
Willing Hearts;Provides food and support services for the needy.;Upon request;To provide support and services.;Open to those in need.;Food
Young Women's Christian Association of Singapore (YWCA);Supports women and families through various programs.;Upon request;To provide support and services.;Open to those in need.;Family Service
Youth Guidance Outreach Services;Supports at-risk youth through various programs.;Upon request;To provide support and services.;Open to those in need.;Children
YWCA of Singapore;Provides social services and support for women and families.;Upon request;To provide support and services.;Open to those in need.;Family Service
Welfare Aid Fund (SCS);Provides temporary financial assistance and/or medical supplies to needy cancer patients.;Upon request;To provide support and services.;Open to those in need.;Financial
North West Interim Financial Assistance Scheme (North West CDC);Provides interim financial assistance.;Upon request;To provide support and services.;Open to those in need.;Financial
North West Utilities Assistance Scheme (North West CDC);Provides utilities assistance.;Upon request;To provide support and services.;Open to those in need.;Financial
NTUC Care Fund (e-Vouchers);Provides financial assistance through e-vouchers.;Upon request;To provide support and services.;Open to those in need.;Financial
MOSES (Singapore Anglican Community Services);Provides employment and training for individuals with mental health issues.;Upon request;To provide support and services.;Open to those in need.;Social Enterprises
Mother and Child Project (Singapore Anglican Community Services);Provides vocational training and employment for women in crisis.;Upon request;To provide support and services.;Open to those in need.;Social Enterprises
MTFA Ihsan Casket (Muslim Trust Fund Association);Provides funerary services and subsidizes burial costs.;Upon request;To provide support and services.;Open to those in need.;Social Enterprises
Something Old Something New (Singapore Anglican Community Services);Operates thrift shops and provides employment for individuals with mental health issues.;Upon request;To provide support and services.;Open to those in need.;Social Enterprises
Public Defender’s Office;Provides legal representation for criminal proceedings.;Upon request;To provide support and services.;Open to those in need.;Legal
Transit Point @ Margaret Drive (New Hope Community Services);Provides temporary shelter for homeless individuals.;Upon request;To provide support and services.;Open to those in need.;Shelter
Transitional Shelter (AWWA);Provides transitional shelter for homeless families.;Upon request;To provide support and services.;Open to those in need.;Shelter
Welfare Homes (Sathya Sai Social Service);Provides welfare homes for needy individuals.;Upon request;To provide support and services.;Open to those in need.;Shelter
Children Cancer Foundation;Provides support for children with cancer and their families.;Upon request;To provide support and services.;Open to those in need.;Children
Medical Escort Volunteer (Cheng Hong Welfare Service Society);Provides medical escort services.;Upon request;To provide support and services.;Open to those in need.;Volunteering
NCIS Dream Makers;Provides dream-fulfilling services for cancer patients.;Upon request;To provide support and services.;Open to those in need.;Volunteering
CCF Consultancy Grant (NCSS Charities Capability Fund);Provides consultancy grants for capability building.;Upon request;To provide support and services.;Open to those in need.;Grants
CCF Info-Communications Technology Grant (NCSS Charities Capability Fund);Provides ICT grants for capability building.;Upon request;To provide support and services.;Open to those in need.;Grants
Integrated Employment Services (SACS);Provides employment services for individuals with disabilities.;Upon request;To provide support and services.;Open to those in need.;Employment
Singapore Association for Mental Health MINDSET Learning Hub;Provides vocational training for individuals with mental health issues.;Upon request;To provide support and services.;Open to those in need.;Employment
Trybe Counselling & Therapy Service;Provides counselling and therapy services for youth.;Upon request;To provide support and services.;Open to those in need.;Mental Health
Youth Counselling Services (Singapore Anglican Community Services);Provides counselling services for youth.;Upon request;To provide support and services.;Open to those in need.;Mental Health
Milk Powder & Diapers Assistance (BCare);Provides milk powder and diapers assistance for needy families.;Upon request;To provide support and services.;Open to those in need.;Children
Dreams;Provides support and resources for disadvantaged children.;Upon request;To provide support and services.;Open to those in need.;Children
Training in Activities of Daily Living (ADL);Provides ADL training for individuals with disabilities.;Upon request;To provide support and services.;Open to those in need.;Physical Health
Dementia Singapore;Provides support for individuals with dementia and their families.;Upon request;To provide support and services.;Open to those in need.;Helplines
LGBTQ Women's Helpline (Brave Spaces);Provides helpline support for LGBTQ women.;Upon request;To provide support and services.;Open to those in need.;Helplines
Lifeline NUS;Provides crisis support and intervention services.;Upon request;To provide support and services.;Open to those in need.;Helplines
Mental Health Helpline (IMH);Provides mental health crisis support.;Upon request;To provide support and services.;Open to those in need.;Helplines
Myelodysplastic Syndrome (MDS) Support Group (NCIS);Provides support for individuals with MDS.;Upon request;To provide support and services.;Open to those in need.;Support Group
Narcotics Anonymous;Provides support for individuals recovering from drug addiction.;Upon request;To provide support and services.;Open to those in need.;Support Group
Nasopharyngeal Cancer (NPC) Support Group (NCCS);Provides support for individuals with NPC.;Upon request;To provide support and services.;Open to those in need.;Support Group
Blossom Kaki (Senior Volunteerism) Programme (Blossom Seeds);Encourages senior volunteerism through various programs.;Upon request;To provide support and services.;Open to those in need.;Volunteering
Bless A BTSS Beneficiary (Brain Tumour Society Singapore);Provides support for brain tumour patients.;Upon request;To provide support and services.;Open to those in need.;Volunteering
Bright Hill Evergreen Home;Provides residential care for the elderly.;Upon request;To provide support and services.;Open to those in need.;Elderly
Adullam Life Counselling;Provides counselling services for individuals and families.;Upon request;To provide support and services.;Open to those in need.;Family Service
As-Salaam - PPIS;Provides support services for Muslim families.;Upon request;To provide support and services.;Open to those in need.;Family Service
