Name,Description,Link,Full Content,Who can apply,What to expect,How to apply,Contact,Source URL
Gift From The Heart (HEB),"The Hindu Endowments Board provides food rations to Hindu families in need through its assistance programme ‘Gift from the Heart’. The programme was first launched to assist families in financial difficulties to tide over the 2009 economic downturn. Food rations are packed and distributed through HEB-Ashram, an institution of public character (IPC) managed by the Board. Beneficiaries are identified through Hindu temples.The Board welcomes donors and benefactors who wish to be a part of this community initiative.",https://www.sgsocialsupport.com/resource/8K79LSe-xDc,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Download Criteria Form DOWNLOAD APPLICATION FORM Hardcopies of the application form are available at the following HEB Temple counters: 1. Sri Srinivasa Perumal Temple (Serangoon Road) 2. Sri Mariamman Temple (South Bridge Road) 3. Sri Sivan Temple (Geylang East) 4. Sri Vairavimada Kaliamman Temple (Toa Payoh),"HEB-Ashram + − Leaflet | OneMap © contributors | Singapore Land Authority 30, Durban Road 
S759642 6753 9730 enquiries@hebashram.org.sg Website",https://www.sgsocialsupport.com/resource/8K79LSe-xDc
Kembangan-Chai Chee’s Daily Free Meals (Kembangan-Chai Chee PA),,https://www.sgsocialsupport.com/resource/6dLrABf-HBJ,No Content Found,Resident must be a Singaporean Citizen or Permanent Resident and reside within Kembangan-Chai Chee,Packet of cooked meals daily (number of packets will be determined by the family size or if beneficiary requires dinner),To approach Kampong Ubi CC or your GRLs for assistance,"Kembangan-Chai Chee PA + − Leaflet | OneMap © contributors | Singapore Land Authority 10 Jalan Ubi 
S409075 10:00AM - 6:00PM (Closed on Public Holidays) 6745 9919 Website",https://www.sgsocialsupport.com/resource/6dLrABf-HBJ
Krsna's Free Meals,"Krsna's Free Meals (previously Krishna's Kitchen) is a soup kitchen in Singapore run by like-minded volunteers who are compassionate and determined to serve those in need. Krsna's Free Meals serves free breakfast and lunch daily. To date, we have distributed over 400,000 meals. We are aided by enthusiastic volunteers who tirelessly help cut vegetables, clean our premises and serve the food. We spread love through food and take pride in serving food akin to a home-cooked meal.",https://www.sgsocialsupport.com/resource/sT7C6j6nDz7,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Krsna's Free Meals + − Leaflet | OneMap © contributors | Singapore Land Authority 16 Veerasamy Rd 
S207324 630am - 9am / 11am to 230pm 6909 7730 admin@krsnasfreemeals.org Website",https://www.sgsocialsupport.com/resource/sT7C6j6nDz7
Meals on Us (Loving Hearts Multi Service Centre),"Through the MOU meal vouchers, we&nbsp; provide daily hot meals for residents in need.*&nbsp;These residents include vulnerable seniors, and needy individuals and families.*This service is only available to residents of Yuhua and some parts of Jurong East.",https://www.sgsocialsupport.com/resource/GJrrCrVZ-hX,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Meals on Us (Loving Hearts Multi Service Centre) + − Leaflet | OneMap © contributors | Singapore Land Authority BLK 210 Jurong East Street 21, #01-389 
S600210 6897 4766 hello@lovingheart.org.sg Website",https://www.sgsocialsupport.com/resource/GJrrCrVZ-hX
Meals on Wheels (AIC),The service provides meal deliveries to homebound clients who are unable to buy and prepare their own meals and do not have a caregiver to help them to do so.,https://www.sgsocialsupport.com/resource/uKB6E73BzQS,No Content Found,Please contact the organisation for more details.,"Services Provided Services include:
Meal Delivery Lunch and dinner, 7 days a week (including public holidays) Lunch delivery: 11am – 1pm Dinner delivery: 4pm – 7pm Service Areas Islandwide
Catering to Dietary Requirements Halal, Non-Halal, Vegetarian, or Special Diets (eg. blended, soft food)","Please approach the doctor at the hospital or polyclinic that your loved one visits for assistance to submit an online application for the service. Alternatively, you may visit an AIC Link near you for assistance on the application process. https://www.aic.sg/about-us/aic-link-locations/ For eligible clients, the service will cost approximately between $4.90 and $7 per meal (before subsidies). Subsidies are available depending on the means test results. You may also visit the E-care Locator to ask service providers for more details on their costs and services.",Agency of Integrated Care (AIC) Website,https://www.sgsocialsupport.com/resource/uKB6E73BzQS
Meals on Wheels (Sunlove Abode For Intellectually Infirmed),The programme started in 1997 for the purpose of providing accessible and affordable services to assist the frail and home-bound elderly.,https://www.sgsocialsupport.com/resource/MucDstvUjGx,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Sunlove Abode For Intellectually Infirmed + − Leaflet | OneMap © contributors | Singapore Land Authority 70 Buangkok View 
S534190 6386 9312 6387 3593 sunlovehq@sunlove.org.sg Website",https://www.sgsocialsupport.com/resource/MucDstvUjGx
Meals-On-Wheels - YWCA,"Nutritious Meals for our Beneficiaries
The YWCA Meals-on-Wheels (MoW) is a meals programme running since August 1997. We serve 3 core groups:

Children between the ages of 5-12 years from low-income families
Senior citizens aged 60 and above who are needy, frail and homebound
The physically and mentally disabled between the ages of 13-59 years

This initiative aims to provide two nutritious meals daily for our struggling children, seniors and disabled members in the community so they do not go to bed hungry.
The meals we provide are free, nutritious and halal. We deliver to residential homes or our partnering agencies daily from Monday- Friday, excluding public holidays.
This programme serves those in the Outram area along the west-bound MRT line that includes Chinatown, Tiong Bahru, Redhill, Queenstown and Commonwealth. For Meals-on-Wheels (Children), our service boundary ends at Jurong East.",https://www.sgsocialsupport.com/resource/hbhwB8t4csX,No Content Found,"Childern Singapore Citizen or Permanent Resident Regardless of race, religion or gender The child must be at least 5 years old and not older than 12 years old Total household income should be less than $3,000 per month or less than $750 per capita (per person per household). Seniors/Disabled Singapore Citizen or Permanent Resident Regardless of race, religion or gender Mentally/physically disabled or otherwise incapacitated must be at least 13 years old and not older than 59 years old Elderly must be at least 60 years and above and are frail, needy and/or homebound Total household income should be less than $1,900 per month or less than $800 per capita (per person per household).",Please contact the organisation for more details.,Contact your nearest Family Service Centre/Social Service Centre to request for a social worker who will apply on your behalf. Social Worker to contact our programme-in-charge at csp@ywca.org.sg who will advise on the submission of supporting documents.,"Young Women's Christian Association + − Leaflet | OneMap © contributors | Singapore Land Authority 254 Outram Road 
S169051 6223 1227 csp@ywca.org.sg Website",https://www.sgsocialsupport.com/resource/hbhwB8t4csX
Meals-On-Wheels Assistance (Sunshine Welfare Action Mission),"Home Help ServicesSWAMI Home’s social care team is passionate about doing everything to keep clients independent and at home. An influential and forward-thinking home care and disability service provider, our dedicated and passionate team of professionals provides a full range of support:Meals-On-Wheels AssistanceMedical Escort AssistanceAll facets of our home care are overseen by our Manageress – giving you the ultimate peace of mind. Our services also extend to those who do not meet the criteria but are in need of these services. We have extended to the following service areas such as:Admiralty, Chong Pang, Khatib, Marsiling, Sembawang and Yishun",https://www.sgsocialsupport.com/resource/hhvb2RJxa8g,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Sunshine Welfare Action Mission (SWAMI Home) + − Leaflet | OneMap © contributors | Singapore Land Authority No.5 Sembawang Walk 
S757717 6257 6117 enquiry@swami.org.sg Website",https://www.sgsocialsupport.com/resource/hhvb2RJxa8g
North West Food Aid Fund (North West CDC),"The North West Food Aid Fund (FAF) is a local assistance scheme administered by the North West CDC. It aims to complement the National ComCare Scheme by supporting low-income residents who do not meet the National ComCare scheme criteria but are still in need of help tide through financial difficulties.
The fund supports the provision of vouchers to these families, and quarterly care packs distributions to those staying in the rental flats and under the local welfare schemes within the North West District.
North West Food Aid Vouchers
The North West Food Aid Vouchers help low-income families to alleviate their monthly household expenses on food. Each approved household may receive up to $120 supermarket vouchers per month for up to a period of 6 months.
North West CDC identifies the beneficiaries jointly with the Grassroots Organisations in the North West District. Eligible residents may head down to the nearest community clubs to apply.",https://www.sgsocialsupport.com/resource/MsqGY-PK8aC,No Content Found,"Singapore Citizen, or Permanent Resident (at least one immediate family member in the same household must be a Singapore Citizen) Resident of the North West District Monthly household income of ≤$3,400 or Monthly Per Capita Income of ≤$850",Find out more about the quarterly care pack distributions here .,Please contact the organisation for more details.,North West CDC 6248 5566 northwest_cdc@pa.gov.sg Website,https://www.sgsocialsupport.com/resource/MsqGY-PK8aC
North West Service Weeks (North West CDC),"North West Service Weeks provides quarterly food assistance to needy North West residents residing in public rental flats and under the local welfare schemes.
Corporate and community volunteers work together to run a Pop-Up Market and assist residents in customising their food packs. Some corporate partners even go the extra mile to provide home improvement services, while others may top up with additional items or vouchers for residents.
Corporates or community organisations who are keen to participate in the programme, please email northwestcdc_partnerships@pa.gov.sg.
Residents requiring more information, please email northwest_cdc@pa.gov.sg or call our hotline at 6248 5566.",https://www.sgsocialsupport.com/resource/XKypUwdGUZe,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,North West CDC 6248 5566 northwest_cdc@pa.gov.sg Website,https://www.sgsocialsupport.com/resource/XKypUwdGUZe
"Pantry Plenish, Bread Walk, Fresh Food (Yong-en Care Centre)","Our monthly food distribution programme provides monthly dried food rations containing staple items, as immediate assistance for low-income families and aged seniors in Chinatown, Jalan Kukoh and York Hill.We also distribute bread and fresh food to lessen their financial burden and have healthier food options.",https://www.sgsocialsupport.com/resource/HSFw78ucGqe,No Content Found,"Eligibility Criteria Food Ration: Based on referrals by Social Service Office (SSO) or Family Service Centres (FSC) and staying in Chinatown vicinity Bread Distribution: Residents living in rental blocks of either one room / one and a half room flat, and families with financial difficulties Case Management: Based on referrals by SSO or FSC and staying in Chinatown vicinity, or recommended by Yong-en Care Centre (YCC) Case Workers",Please contact the organisation for more details.,"How to Apply ? For referrals or enquiries, please email mail@yong-en.org.sg",Yong-en Care Centre mail@yong-en.org.sg Website,https://www.sgsocialsupport.com/resource/HSFw78ucGqe
Project Belanja! 热食暖心齐买单 (Food From The Heart),"Project Belanja! (热食暖心齐买单) is Food from the Heart’s app-driven hot food redemption programme, run in partnership with hawker stall owners. The programme provides needy with freshly-cooked meals to be redeemed at designated neighbouring hawker stalls, within proximity of the activity zones of the beneficiaries.
Some of our beneficiaries are unable to cook their own meals. To them, Project Belanja! is a cooked-food alternative to food pack rations like those from the Community Food Pack programme.
To others, it gives them greater choice and flexibility over what their meal will be - they get to choose when they want a change from their usual fare, cooked by someone else in a different way, enjoyed in another environment.
The programme also encourages them to step out of the house to interact with the community.
Redemption Process
Beneficiaries use the QR code on their Food from the Heart beneficiary card to redeem meals for up to 15 meals per month for each person. The cards are scanned on a mobile app used by partnering hawker stall vendors, where redemption data is tracked to better understand and serve the beneficiaries.
Find out more about our Community Shop, another digitalised food-redemption project by Food from the Heart.
Locations:

Tampines
Kolam Ayer
Marine Parade
Mountbatten
Toa Payoh

Sponsors and F&amp;B Partners
Food from the Heart actively seeks more F&amp;B partners to join us to feed the needy. F&amp;B redistributors, retailers and stall owners can contact us to find out more about supporting our programmes.
We also invite sponsors to support the hawkers who participate in Project Belanja! to eliminate the financial barriers of hawkers who wish to join the initiative. Enquire today to find out more about sponsoring Project Belanja!",https://www.sgsocialsupport.com/resource/YGWtubf-KCm,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Project Belanja! 热食暖心齐买单 (Food From The Heart) + − Leaflet | OneMap © contributors | Singapore Land Authority 130 Joo Seng Road #03-01
 
S368357 6280 4483 info@foodheart.org Website",https://www.sgsocialsupport.com/resource/YGWtubf-KCm
Ramadan On Wheels (Malay Youth Literary Association),"Ramadan on Wheels (ROW) is a volunteer-driven initiative with the spirit of gotong-royong to support low-income families and underprivileged elderly. ROW, held annually since 2001, focuses on delivery of food rations to the beneficiaries during the month of Ramadan. Additionally, ROW is part of 4PM’s family development and youth empowerment initiatives.",https://www.sgsocialsupport.com/resource/WzUKQL4A68s,No Content Found,"Eligibility Criteria 1) Applicant must be a holder of Singapore pink or blue NRIC. 2) Only 1 applicant per household will be allowed to apply. Individuals who are in prison, shelters and welfare homes are not eligible. 3) Monthly household income not exceeding $1,500 or per capita income of $650 or less. Needy Elderly Aged 65 years and above Limited family support Suffering from chronic illnesses Low Income Families Have young / schooling children Facing financial difficulties",Please contact the organisation for more details.,Please contact the organisation for more details.,"Ramadan On Wheels (Malay Youth Literary Association) + − Leaflet | OneMap © contributors | Singapore Land Authority Block 606, Bedok Reservoir Road, #01-716 
S470606 6242 6288 Website",https://www.sgsocialsupport.com/resource/WzUKQL4A68s
Ready To Eat Meals (Free Food For All),"We deliver nutritious, healthy and halal ready to eat meals to the homes of various needy residents in Singapore. Recipients include non-ambulant elderly with minimal family support. There are vegetarian and non-vegetarian options. 
FFFA is pioneering a concept of preparing Ready to Eat Meals in a retort packing. The meals are a good blend of local favorites suitable for even the most discerning of palates.
We will home deliver a carton of RTE meals which are in ambient temperature. This is meant to supplement the monthly requirement of 1 person.",https://www.sgsocialsupport.com/resource/c35Kntbj-7-,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"Ready To Eat Meals (Free Food For All) + − Leaflet | OneMap © contributors | Singapore Land Authority 60 Kaki Bukit Place Eunos Techpark #05-07
 
S415979 6530 3424 food.aid@freefood.org.sg Website",https://www.sgsocialsupport.com/resource/c35Kntbj-7-
Singapore Buddhist Welfare Services - Daily Free Meal Delivery Programme,"Launched in 1985, our Daily Free Meal Delivery Programme provides free, healthy, vegetarian food to needy elderly and the vulnerable who face difficulties in getting their own meals. We serve beyond differentiation, regardless of race or religion. Vegetarian meals are sent to beneficiaries twice a day, on a daily basis from Mondays to Saturdays (except Sundays and public holidays).
Our main service areas are concentrated in the North East of Singapore (Hougang, Sengkang, Punggol). With increasing need for our meal delivery service, we have included needy beneficiaries in the North and East Central zones.",https://www.sgsocialsupport.com/resource/KBmcPM9nBnL,No Content Found,"Target Beneficiaries: Elderly persons receiving public assistance or having low incomes and residing in one or two-room rental flats. Other needy individuals who are financially constrained, have difficulties buying their own meals due to illness or impaired mobility and/or have little/no family support.",Please contact the organisation for more details.,Please contact the organisation for more details.,"Singapore Buddhist Welfare Services + − Leaflet | OneMap © contributors | Singapore Land Authority 105 Punggol Road 
S546636 6489 8161 sbws@sbws.org.sg Website",https://www.sgsocialsupport.com/resource/KBmcPM9nBnL
Sustenance for Families - YWCA,"Supporting our Beneficiaries with Basic Rations
Launched in 2010, the Sustenance for Families programme aims to ease some of the financial burdens faced by low-income families who are struggling to make ends meet by providing dry rations.
Families under the standard weekend distribution programme will receive basic and daily necessities such as rice, cooking oil and canned food every month.
For the weekday distribution programme, families will receive customised dry ration packages which are packed according to their needs.
The YWCA partners with external agencies such as Family Service Centres and other welfare organisations to identify these needy families.",https://www.sgsocialsupport.com/resource/2Jxq-m9Q8yq,No Content Found,"Singapore Citizen or Permanent Resident Regardless of race, religion or gender Total household income should be less than $1,900 per month or less than $800 per capita (per person per household).",Please contact the organisation for more details.,Contact your nearest Family Service Centre/Social Service Centre to request for a social worker who will apply on your behalf. Download the form from YWCA. Social worker to email csp@ywca.org.sg. Attach Form Attach All Necessary Documents Attach Valid Social Report,"Young Women's Christian Association + − Leaflet | OneMap © contributors | Singapore Land Authority 254 Outram Road 
S169051 6223 1227 csp@ywca.org.sg Website",https://www.sgsocialsupport.com/resource/2Jxq-m9Q8yq
The Foodbank Singapore,"FBSG acquires donated food (much of which would otherwise be wasted) from farms, manufacturers, distributors, retail stores, restaurants, consumers, and other sources; and makes it available to those in need via a network of member beneficiaries. These member beneficiaries include various types of homes, family service centres, soup kitchens, and other Voluntary Welfare Organizations (VWOs).",https://www.sgsocialsupport.com/resource/jUwcAYaGCkK,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,"The Food Bank Singapore + − Leaflet | OneMap © contributors | Singapore Land Authority The Foodbank Singapore Ltd
218 Pandan Loop, XPACE 
S128408 9855 4805 enquiries@foodbank.sg Website",https://www.sgsocialsupport.com/resource/jUwcAYaGCkK
The Giving Collective,"The Giving Collective aims to provide help to the less fortunate and reduce wastage by distributing excess food from bakeries to homes of the elderly and those living in rental flats. The ground-up initiative also provides hot meals to the elderly every weekend when many social service agencies do not distribute food .Apart from the provision of food, The Giving Collective also engages the community in livening up shared spaces in void decks, community centres and nursing homes through mural painting with the seniors and residents.",https://www.sgsocialsupport.com/resource/7EuPrCdzKJg,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,Please contact the organisation for more details.,Anne Neo anneneoht@gmail.com Website,https://www.sgsocialsupport.com/resource/7EuPrCdzKJg
Welfare Assistance (Woodlands Social Centre),WELFARE ASSISTANCEGIVING FAMILIES A BOOSTWe provide short to mid-term welfare assistance for families facing financial constraints and other situation difficulties with the distribution of food rations and tap-a-meal cards.,https://www.sgsocialsupport.com/resource/x3y2RLRcRHj,No Content Found,Please contact the organisation for more details.,Please contact the organisation for more details.,,"Woodlands Social Centre + − Leaflet | OneMap © contributors | Singapore Land Authority 830 Woodlands Street 83 #01-33  
S730830 6365 5234 info@wsc.org.sg Website",https://www.sgsocialsupport.com/resource/x3y2RLRcRHj
