Name of Organisation,Type of Assistance,Eligibility,How to Apply,Contact Information,Description,External URLs,Ethnicity,Amount/Benefits Provided,Contact,External_URLs
Cancer Treatment Fund (SCS),Medical assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"This fund provides financial assistance to needy cancer patients to subsidise part of their cancer treatment costs. Cancer patients are referred to the Society by their healthcare professionals or medical social workers from various restructured hospitals in Singapore.
Since the inception of this fund in 2005, more than S$18.70 million in aid was disbursed, assisting more than 5,500 patients.",,All,Not specified,"1800 727 3333, welfare@singaporecancersociety.org.sg",https://www.singaporecancersociety.org.sg
Chan Chiew Ping Fund (Trailblazer Foundation),Medical assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The Chan Chiew Ping Fund offers sponsorship in the following main areas:In education, the Fund helps bright young women from Singapore and other ASEAN countries realise their potential by providing financial assistance for their studies in Singapore – our sponsorship is in the form of bursaries offered through the polytechnics and the Institute of Technical Education.In the medical field, the Fund has funded lung cancer research and subsidised drug treatment for lung cancer patients.",,All,Not specified,,
Children Cancer Foundation Financial Assistance scheme,School fees,Contact organisation for details,Contact organisation for details,Contact organisation,"CCF Financial Assistance (FA) scheme aims to help families who are facing financial hardship when their child is diagnosed with cancer. Families may face hefty medical expenses as well as new expenses arising from caring for their child. CCF helps to ease the financial burden by providing financial counselling and assistance in cash or in-kind to needy families of children with cancer, as well as connecting them to other relevant resources.
The FA scheme includes:

Food and maintenance
Transport
Medical cost
Schooling assistance",,All,Not specified,,
ComCare Short-to-Medium Term Assistance (SMTA),General assistance,Low-income families,Contact organisation for details,Contact organisation,"Provides temporary financial assistance for lower-income individuals or families who are temporarily unable to work, looking for a job or earning a low income and require assistance.",,All,Not specified,"1800 222 0000, msf_comcare@msf.gov.sg",https://www.msf.gov.sg
Community Support Scheme (City Harvest Community Services Association),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"To provide support for families residing in the vicinity of our centres. Type of support include referrals, counselling or financial assistance.",,All,Not specified,,
Compassion Fund,General assistance,Low-income families,Contact organisation for details,Contact organisation,"Compassion Fund is a crisis response fund supporting students from low-income families facing a recent death, an illness, or an accident of a family member, resulting in loss of income.",,All,Not specified,,
Credit Counselling Singapore (CCS),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Credit Counselling Singapore (CCS) is an independent, non-profit, Social Service Agency. CCS is the only organisation recognised by The Association of Banks in Singapore (ABS) for our commitment in helping debt-distressed individuals address their unsecured debt problem through counselling, education and facilitating debt repayment arrangements, where suitable.",,All,Not specified,,
CWS Bursary (Catholic Welfare Services),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Catholic Welfare Services (CWS) is a non-profit, social service agency founded in 1959 with the aim of uplifting the lives of the less fortunate in the community. Following in the spirit of the Good Shepherd – to lead people towards love and fulfilment – and the spirit of the Good Samaritan – to help those who have fallen along the way – CWS provides various social service programmes and services to support a diverse range of beneficiaries.CWS's bursary programs help many children overcome financial barriers to education, and provide deserving students with the educational opportunities they deserve.",,All,Not specified,,
Debt Advisory Centre (AMP Singapore),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The Debt Advisory Centre (DAC), which was launched in 2013, is a one-stop centre that assists individuals facing debt problems through a three-pronged approach: advice, educate and research. It provides a roadmap for debtors to have a clearer picture of the options that are available to them.In addition, DAC clients attend support group sessions where they share their experiences and gain emotional support from others facing the same problem. They also attend financial literacy workshops to prevent them from creating new debts while they work to resolve their current debt issues.The DAC also acts as a platform to collect data for research on the extent of the debt problem within the Malay/Muslim community.",,Malay,Not specified,,
Debts Counselling (Legal/Illegal Moneylenders) - Arise2care,General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,We have many years of experience of acting as a mediator between borrowers and the legal moneylenders. We also partner and share resources with other organizations to provide assistance holistically to individuals and families trapped in over-borrowing issues.We serve all races and without religion prejudice to help those who are plagued with debts related to legal and illegal moneylenders.,,All,Not specified,,
Education Support Programme (Sikh Welfare Council Singapore),School fees,Contact organisation for details,Contact organisation for details,Contact organisation,"This Programme focuses on educational needs of children of families on SIWEC’s assistance scheme / MOE Financial Assistance Scheme (FAS).The objective of the Education Support Financial assistance for Punjabi education for students from families who require financial assistance.We provide this assistance by giving financial which covers their school fees, books and uniforms, tuition assistance.We also provide counseling in education to such families to ensure the right priorities are placed on education to enable their next generation to stand on their own feet.",,All,Not specified,,
Educational Support - Scholarships and Bursaries (Nam Hong Welfare Service Society),General assistance,Low-income families,Contact organisation for details,Contact organisation,"Every year, Nam Hong Welfare Service Society offers scholarships and bursaries to students from low-income or disadvantaged family backgrounds to help relieve the burden of educational expenses in the hopes of encouraging them to strive forward despite their circumstances. We believe that such financial assistance during their course of study will motivate them to fulfil their full potential.",,All,Not specified,,
Emergency Relief Scheme (Presbyterian Community Services),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The Emergency Relief Scheme (ERS) provides short-term relief to individuals and families in need of temporary financial assistance, regardless of race, religion, or nationality. The scheme enables them to meet their immediate needs while they seek long term help from other sources. Applications make take at least 2 to 3 weeks to be processed.The main eligibility criteria are immediate financial needs arising from sudden death, imprisonment or illness of the primary or secondary wage earner, lack of family support e.g. abandonment of the family/elderly parents by a spouse/children.",,All,Not specified,,
Emmanuel Second Chance Education Programme (Catholic Welfare Services),General assistance,Low-income families,Contact organisation for details,Contact organisation,"The Emmanuel Second Chance Education (“ESCE”) Programme is one of the several life-changing programmes through education run by the Catholic Welfare Services, Singapore. The programme is a scholarship and mentorship programme for those in difficult financial circumstances who need a second chance in life. ESCE aims to provide clients with the means to earn a better income and realise their full potential.A grant will be provided to individuals who best meet the requirements set forth by the Board of Trustees. Award amounts are at the discretion of the Board of Trustees.Applicants may be requested to attend interviews with the Board of Trustees. Successful recipients will be notified by post.",,All,Not specified,,
Family Assistance Programme (CDAC),School fees,Low-income families,Contact organisation for details,Contact organisation,"We support low-income families to cope with their basic living and/or education needs of their children and facilitate their transition to greater resilience and self-reliance. 
The assistance may include:

Grants for essential household bills, such as rental, utilities, childcare fees, student care  fees, etc.
Grocery vouchers to cope with daily living needs.
Guidance and support  in the area of  job search and skills upgrading. 
Family bonding activities. 
Guidance and support from Volunteer Family Befrienders to build resilience.
The Play-Based Programme that supports preschool children in strengthening their executive functions and overall educational development.
Volunteer-driven Mentoring and Tutoring Programmes, such as the following: 
Supervised Homework Group (SHG)-  to support academically weak Primary 4 to 6 students in their studies and to support their overall character development. 
Project YOUth Can Shine (YCS)- to support Secondary 1 to 2 students in Mathematics and facilitate the development of 21st-century competencies such as Communication, Collaboration, Critical Thinking, Creativity and Compassion. 
Project RAISE (Realising Aspirations through Skills and Education) - to support case families to attain social mobility through the provision of grants for skills training and education as well as mentorship and guidance for parents and children.",,All,Not specified,,
Family Development Programme - MWS,General assistance,Low-income families,Contact organisation for details,Contact organisation,"Research has shown that the mental stress of chronic debt and poverty hurts a person’s ability to think clearly and make good decisions. MWS has developed MWS FDP, a proprietary debt clearance and savings matching programme to alleviate poverty by getting people out of debt and into asset building and saving. The programme is targetted at low income families living on per capita income of less than $850.",,All,Not specified,,
Family Support (Sikh Welfare Council Singapore),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The objective of the Financial Assistance & Food on the Table Program is to provide support to Singaporean families in need for financial or other type of assistance.We assess the needs of a family and provide them with the necessary financial, food ration, informational, and socio-emotional support required. This will include:Processing and approving all cases of financial assistance to deserving individuals and families.Directing the SIWEC staff to further investigate requests for financial assistance.Study of family needs for follow up action by other committees under the Sikh Welfare Council.Liaising with Family Service Centre / Social Service Office (SSO), Ministry of Community Development, Youth and Sports (MCYS), Ministry of Education, or other Government organizations for client’s family needs.Publicising in the community various available government programmes for family support and financial assistance.Publicising in the community various available national programmes pertaining to the development and cohesion of the family as the basic social unit.Promoting good family values to the clients.",,All,Not specified,,
Family Support Services (Eurasian Association),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The welfare branch of the EA, Family Support Services (FSS), provides assistance and guidance to Eurasians from underprivileged backgrounds, especially the elderly and families at risk. Through its various programmes and funds, FSS helps the Eurasian community to manage the hardships of life’s unforeseen circumstances. FSS initiatives aim to help our beneficiaries build self-confidence so that they can overcome obstacles. Friends of the FSS (volunteers) deliver monthly food rations and basic necessities to homes.",,Eurasian,Not specified,,
Financial Aid and Practical Assistance (NCCS),Medical assistance,Contact organisation for details,Contact organisation for details,Contact organisation,National Cancer Centre Singapore's page on seeking financial aid and how to approach their medical social workers if you face difficulties paying for the cost of cancer treatment or care at their centre alongside a FAQ section.,,All,Not specified,,
Financial Assistance (BCare),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"We offer short-term financial assistance to the residents of Hougang, Sengkang and Punggol who are in need of help.",,All,Not specified,,
Financial Assistance (Down Syndrome Association Singapore),Financial aid,Contact organisation for details,Contact organisation for details,Contact organisation,"At DSA, we believe that cost should not be a barrier between your child and our Programs. DSA Financial Assistance extends financial aid to needy families who would like to enroll their child with special needs into our Programs and services.If you need help or know of families who requires such assistance, please drop us an email.",,All,Not specified,,
Financial Assistance (Society of Sheng Hong Welfare Services),School fees,Low-income families,Contact organisation for details,Contact organisation,"Financial AssistanceThere are a variety of schemes and assistance to help low-income families who encounter financial difficulties or sudden life upheavals. Depending on eligibility, we assist those who are in financial needs with the following schemes:Children & Youth Assistance Fund (CYAF)CYAF is a scheme set up by Society of Sheng Hong Welfare Services.  It provides short-term assistance to families when they have difficulty to provide adequately to meet the basic needs of their dependent children.School Pocket Money Fund (SPMF)SPMF is a scheme that helps to provide school-going children with pocket money to meet their basic needs.  Primary school children will receive $60 a month whereas secondary school children will receive $95 a month.Comcare Transition (CCT)CCT provides short term financial assistance to those who are temporarily out of job.Other Schemes Of AssistanceFood Rations",,All,Not specified,,
Financial Assistance (Yong-en Care Centre),General assistance,Low-income families,Contact organisation for details,Contact organisation,"Financial assistance is provided to those in need of immediate support. Our emergency relief fund was set up to help low-income breadwinners who have lost their jobs, had their income severely disrupted or faced a personal income loss due to COVID-19. We provide financial support of $500 to $1000 per month for a period ranging from 3 to 6 months.We aim to provide our beneficiaries with temporary financial assistance to help them cover daily expenses and give them some peace of mind, so they focus on getting back on their feet.",,All,Not specified,,
Financial Assistance Scheme (Muslim Converts' Association of Singapore),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The Muslim Converts' Association of Singapore is a non-profit organization based in Singapore that was formed with the objective of having a place where the new Muslim converts could get together and develop the fraternal, religious and social relationships among themselves. We provide education, financial and social support to our members as well as the public who are interested in our services.",,Malay,Not specified,,
Financial Support Programmes for PLHIVs (Action for Aids Singapore),Medical assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Linkage to Care Fund: For newly diagnosed PLHIVsWe would like to make it easier for you to start your journey to better health and management of HIV infection. We will subsidise your first visit to various healthcare institutions such as Tan Tock Seng Hospital’s National Centre for Infectious Diseases (TTSH/NCID), National University Hospital (NUH MIDC), and Changi General Hospital (CGH), up to a maximum of $200. This will help to cover a major portion of the costs for laboratory tests and consultation charges on your first visit. This subsidy scheme started in 2009 is only applicable to Singaporeans/Permanent Residents who have tested HIV-positive at AFA’s Anonymous Testing Services (both the ATS & MTS).A referral letter will be issued by our Clinic Manager/Case Manager based on your preferred choice of healthcare institution. The counter staff there will make the necessary arrangement for the subsidy if you present the referral letter from us. Your bill will have up to $200 deducted from it.Paddy Chew Empowerment FundStarted in 1998, our longest-running empowerment subsidy to provide critical and timely financial support to lower the cost of living. Some of Anti-retroviral medications are classified as standard drugs in Singapore and the financial burden can deter adherence to treatment. To ensure that we incorporate GIPA principles (Greater Involvement of People Living with HIV/AIDS), AFA supports PLHIV who give back to the community by participating in educational activities and AIDS awareness talks. In doing so, they help us reach and influence more people, and at the same time are voices for other PLHIVsHIV+ Pregnant Mother’s FundThe HIV+ Pregnant Mothers Fund was established in 2007 to help eliminate vertical transmission of HIV. To achieve this, we provide assistance for HIV-positive pregnant mothers who cannot afford anti-retroviral treatment. All applications for the financial subsidy are submitted to AfA through a certified medical social worker from healthcare institutions.Care for Family FundCaring for a PLHIV and meeting the associated medical costs, in many cases, puts a significant strain on a family’s resources. In our encounters with affected families, the financial burden of treatment is cited as a key reason for patients failing to adhere to treatment. To offset some of the costs associated with living with HIV, AfA offers the Care for Family Fund subsidy to affected PLHIVs and their families.Applications for financial subsidy are submitted to AfA via medical social workers on behalf of their clients. This ensures that the appropriate needs assessment is done by social work professionals, and that all other avenues of government funding have already been exhausted prior to their application. With these measures in place, the financial assistance will reach individuals and families who are most in need.Emergency FundHigh levels of stigma, discrimination and ignorance mean that many people who are diagnosed with HIV could lose their jobs due to discrimination. The Emergency Fund aims to provide support to young PLHIV (<30 years) who have been terminated from their employment due to their HIV status for an interim period. This helps them cope with some of their daily expenses and their medication costs while they seek new employment and help.",,All,Not specified,,
Fresh Start Scheme (City Harvest Community Services Association),General assistance,Low-income families,Contact organisation for details,Contact organisation,"To empower families to break out of chronic poverty. This is done through the disbursement of a capital fund to bring about possible structural changes to the family’s social and economic circumstances. This capital fund is capped at $2,000 per household and will only be granted once.Examples:• Homeless person who requires help with paying for rental deposit• Breadwinner requiring skills upgrading to increase income• Parents requiring childcare deposit for childcare placement in order to work• Family requiring subsidy for home nursing expenses• Student requiring assistance for education funding because of ineligibility for mainstream fundingApproachApplicant will work together with a caseworker over 3 months to formulate and execute an action plan related to one of the following areas:• Skills-based: Pursuit of education / Skills upgrading / Vocational Licensing• Caregiving: Child care / Elder care / Nursing care arrangements• Housing: Rental of accommodation• Career: Deposit or start up fund for work-related necessities",,All,Not specified,,
Goh Chok Tong Enable Fund,Financial aid,Contact organisation for details,Contact organisation for details,Contact organisation,"The Goh Chok Tong Enable Fund (GCTEF) aims to provide persons with disabilities the opportunities to actively contribute to society and lead socially integrated lives. The Fund supports persons with disabilities through 3As: providing financial Aid, supporting Aspirations and giving Awards to recognise the achievements and potential of persons with disabilities.
Emeritus Senior Minister Goh Chok Tong is the Patron of the fund. The fund is administered by SG Enable, and supported by Mediacorp.",,All,Not specified,,
Happy Stork (Babes),School fees,Contact organisation for details,Contact organisation for details,Contact organisation,"One of the biggest challenges for new teen mums is their inability to go to school or work regularly as they need to personally care for their newborn babies. This makes it hard for them to afford basic necessities like formula milk and diapers. Happy Stork is a program to aid needy teen mums with baby necessities. Each month, milk and diapers would be delivered to their home to help alleviate some of the financial burden in raising a baby.",,All,Not specified,,
Heart Support Fund (Singapore Heart Foundation),Medical assistance,Low-income families,Follow application instructions in the description,Contact organisation,"Singapore Heart Foundation provides financial assistance to needy heart patients through the Heart Support Fund.Areas of SupportMechanical Heart DevicePatients receive a 65-80% subsidy for the implantation of mechanical heart devices using the Health Science Development Fund from the Ministry of Health. However, the balance cannot be paid using the patient’s existing MediFund.Patients with financial constraints can apply to SHF for help in paying for their mechanical heart devices.Examples of implantable devices that qualify for financial assistance are:ECMOABIOMEDTHORATECHEARTMATESHF provides a subsidy of up to $20,000 to defray the cost of each patient’s mechanical heart deviceHeart TransplantPatients undergoing a heart transplant are eligible for the Heart Transplant Subsidy from the Ministry of Health. As there is a maximum cap on this subsidy, patients who are unable to settle the outstanding balance of their heart transplant expenses and subsequent follow-up treatment fees can request additional financial support from SHF.SHF will assist each heart transplant patient with up to a maximum of $20,000.Emergency Relief AssistanceSome patients suffer income loss after a cardiac treatment when they are unable to resume their former jobs and face difficulty in re-employment or when they have to take time off from work to attend cardiac rehabilitation programmes or routine medical appointments.To help these patients adjust to periods of income loss, SHF offers emergency relief assistance of up to $800 per month for a maximum period of six months; and on a case-to-case basis, up to another three months for each patient, according to the treatment of their heart condition.Transportation subsidy for hospital follow-up visitsFor heart patients who require frequent follow-up visits to the hospital, SHF issues the CabCharge card to provide transport subsidy, such that patients can travel to and fro the hospital safely.Sponsorship of medical and mobility devicesHeart patients who require close monitoring of their conditions but are unable to afford the medical devices can apply to SHF for assistance. By equipping them with medical devices like BP monitors and heart rate monitors, and mobility devices like wheelchairs, patients are empowered to cope and even thrive with their ongoing health issues.",,All,Not specified,,
Howe Yoon Chong-PSA Endowment Fund,General assistance,Low-income families,Contact organisation for details,Contact organisation,"The Howe Yoon Chong PSA Scholarships aim to provide financial assistance for upgrading and training to Singaporean students from lower income families, especially for those who have shown a commitment to their community or their families, or who can make a difference to others.",,All,Not specified,,
IMDA DigitalAccess@Home,School fees,Low-income families,Contact organisation for details,Contact organisation,"DigitalAccess@Home provides subsidised broadband and laptops/tablets to lower-income households to support their lifestyle needs, including work and social activities.Additional support for beneficiaries by Digital for Life (DfL) partnersHouseholds with 3 or more primary school children may submit a request for a refurbished laptop after DigitalAccess@Home approval. Refurbished laptops will be provided by DfL partners, Engineering Good and SGBono.DigitalAccess@Home beneficiaries will also gain access to free digital skills programmes run by DfL Partners such as Byte.sg, HP Inc, IBM, Microsoft, and Oracle.",,All,Not specified,,
Interim Support Scheme (City Harvest Community Services Association),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"To support families and individuals who are in need via interim financial assistance and referral support while they seek assistance from public assistance schemes. Assistance is capped at $200 per beneficiary per disbursement (capped to $600 per family) up to a period of 3 months.Examples:• Individuals who are experiencing crises, needing urgent help but are not yet linked to any social services.• Families awaiting outcome of financial assistance application by Social Service Office.",,All,Not specified,,
Kidney Live Donor Support Fund (National Kidney Foundation),Medical assistance,Low-income families,Follow application instructions in the description,Contact organisation,"The Kidney Live Donor Support Fund provides financial assistance to needy live kidney donors. Only Singaporean Citizens and Permanent Residents referred by public health institutions will be eligible to apply for this fund and must meet the NKF means test criteria. Only the recipient is required to pass the NKF means test criteria.What does the fund cover?The funding covers the following:Pre-transplant screening and evaluation costs for up to two potential donors per kidney recipientCost of annual health screening and medical follow-ups as directed by Restructured Hospital PhysiciansOne-time reimbursement for loss of two months actual income or $8,500 whichever is lower.Reimbursement of Hospitalisation & Surgical insurance premiums (Capped at MediShield Life Reimbursement)Insurance coverage for Group Living Policy based on sum insured of $200,000",,All,Not specified,,
Learning Access Foundation Hardship & Perseverance Award (AMP Singapore),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"In collaboration with Community Foundation of Singapore, AMP introduced the Learning Access Foundation Hardship & Perseverance Award for tertiary students from less privileged families who require financial assistance.",,All,Not specified,,
Learning Access Foundation ITE Award (AMP Singapore),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"In collaboration with Community Foundation of Singapore, AMP introduced the Learning Access Foundation ITE Award for full-time ITE from less privileged families who require financial assistance.",,All,Not specified,,
Lifeblood Financial Aid (Lifeblood Centre),Medical assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Transport CoverageFull and partial subsidies for transportation to and from the place of treatment and their place of residence where the average frequency could be 4 times a week.  We partner with transport service providers such as Comfort Delgro, GRAB and ambulance companies to provide them with cashless and effective assistance. This greatly benefits beneficiaries who experiences limited mobility, debilitating complications or side effects of treatment or the illness itself, or who are advised by their doctor to avoid public transport.Monthly average cost per beneficiary: $500Medical Consumables subsidiesSubsidy for medical consumables required for the treatment or maintenance of illness is available. We subsidies consumables such as needles and syringes for chelation, port expenses, diapers, milk feeds, wound care consumables, and stoma consumables among others. We also subsidies equipment or the rental of equipment.Monthly average cost per beneficiary: $400",,All,Not specified,,
Little Steps @ North West (North West CDC),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Little Steps @ North West provides cash assistance to children aged up to six years old in the North West district, who are supported by KidSTART Singapore (SG), to help relieve their families’ financial stress from upkeeping daily expenses. Each eligible child will receive $500 per financial year disbursed to the parents’ or caregivers’ bank accounts.
Important to note:
Each eligible child will receive a letter from the North West CDC to register for Little Steps @ North West. Upon successful verification of all supporting documents, the child will be enrolled into the programme, and a confirmation letter will be mailed to the registered address.
As the applications are processed in batches, any incomplete submission of documents will result in a delay in the crediting of the cash assistance.",,All,Not specified,,
MCAS Bursary (Muslim Converts' Association of Singapore),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The Muslim Converts' Association of Singapore is a non-profit organization based in Singapore that was formed with the objective of having a place where the new Muslim converts could get together and develop the fraternal, religious and social relationships among themselves. We provide education, financial and social support to our members as well as the public who are interested in our services.",,Malay,Not specified,,
Meals With Love (Singapore Red Cross),General assistance,Low-income families,Contact organisation for details,Contact organisation,"Identified families receive grocery vouchers for six months. They can use the grocery vouchers on nutritious food and groceries, as well as essential items such as diapers and milk formula powder. We strongly believe that no family should have to face adversity alone, which is why we maintain constant communication with social workers to ensure they receive the appropriate support. Meals With Love serves as the means to an end, providing nourishment and care for families in their time of need. In particular, the programme prioritises:

Families that have recently fallen into crisis
Skipped-generation families (Grandparent-headed households)
Single-parent families
Lower-income households",,All,Not specified,,
Mediacorp Enable Fund,General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The Mediacorp Enable Fund (MEF) benefits persons with disabilities. MEF provides financial support for person with disabilities pursuing aspirations such as education, work, or in achieving meaningful objectives.Vision and MissionTo help build a society where every citizen of all abilities has a place and role to play. The Fund will focus on efforts to enhance the education, skills and employment prospects of persons with disabilities, as well as foster greater empathy and inclusion for persons with disabilities in the wider community.",,All,Not specified,,
MTFA Bursary (Muslimin Trust Fund Association),School fees,Low-income families,Contact organisation for details,Contact organisation,MTFA awards bursaries using the Zakat funds collected for the Hijrah year. The aim of this bursary is to provide financial support for Muslim students from low-income families who are pursuing Primary and Secondary school education.,,Malay,Not specified,,
MTFA Financial Assistance (Muslimin Trust Fund Association),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"Bi-monthly cash support for families struggling to make ends meet - from purchasing baby milk powder, to paying utility bills to keep the light on.",,Malay,Not specified,,
MTFA Founders' Scholarship (Muslim Trust Fund Association),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"The MTFA Founders’ Scholarship Fund was set up in honour of the founders of MTFA to motivate students of high intellectual capacity, strong personal drive and leadership qualities to take the lead in serving the needs of the Muslim community.",,Malay,Not specified,,
NatSteel - SPD Bursary Award (SPD),School fees,Low-income families,Follow application instructions in the description,Contact organisation,"SPD is a local charity set up to help people with disabilities of all ages to maximise their potential and integrate them into mainstream society.The NatSteel-SPD Bursary Award is offered to students from low-income families studying in mainstream schools. It serves to reduce the financial burden of the student with disability to encourage him/her to focus on his/her educational pursuit. Applying students must have a physical or sensory disability, i.e. hearing or visual impairments, to qualify.",,All,Not specified,,
Neighbourhood Assistance Fund (Bless Community Services),General assistance,Low-income families,Contact organisation for details,Contact organisation,"The Neighbourhood Assistance Fund seeks to provide emergency relief or short term assistance to individuals and families who face an unexpected hardship (unexpected loss of job, retrenchment etc), causing a significant impact on their household income by assisting with daily needs.Emergency Relief Assistance is meant to meet basic necessities such as food, groceries, transport and other daily expenses only.Short Term Relief Assistance is meant to tide an individual or family over some time while longer term assistance at a Social Service Office or at another agency is pending approval.",,All,Not specified,,
North East Cancer Warrior Support Scheme (North East CDC),General assistance,Contact organisation for details,Contact organisation for details,Contact organisation,"North East Cancer Warrior Support Scheme aims at providing peace-of-mind assurance, financial assistance and support to women diagnosed with breast cancer.
In collaboration with SingHealth and the Health Promotion Board’s Screen for Life programme, the scheme provides mammogram screening at no cost for eligible women in the North East district. North East CDC hopes to encourage Singaporeans to take proactive measures towards their health while promoting the benefits of early detection.",,All,Not specified,,
